Index,TimeCost
1,11.5
2,12.89999998
3,8
4,10.30000001
5,9.300000012
6,8.699999988
7,14.30000001
8,9.699999988
9,8.900000036
10,11.69999999
11,10
12,10.70000005
13,8.799999952
14,8.199999988
15,8.599999964
16,9.400000036
17,8.5
18,9.099999964
19,8.600000024
20,9.5
21,10.60000002
22,9.400000036
23,8.699999988
24,9.099999964
25,15.39999998
26,8.400000036
27,9
28,8.699999988
29,9.699999988
30,8.899999976
31,9.199999988
32,11.5
33,8.799999952
34,9.5
35,9.300000012
36,10.10000002
37,9.5
38,8.400000036
39,9.200000048
40,10.5
41,8.300000012
42,12.30000001
43,10
44,9
45,8.5
46,9.199999988
47,8.199999988
48,8.900000036
49,7.899999976
50,8.599999964
